Reference (Paper),Method Type,Architecture,Dataset,Target,Pre-processing,Data Augmentation,Main Features,Metrics and Results,Application,Advantage,Disadvantage
" Multi-Aspect SAR Target Recognition Based on Non-Local and Contrastive Learning by Xiao Zhou, Siyuan Li, Zongxu Pan, Guangyao Zhou, and Yuxin Hu [67]", 2.2 CNN-Based Models 3.4 Self-supervised Learning 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a novel multi-aspect SAR target recognition method with three main components: A CNN-based feature extractor pre-trained using contrastive learning A Non-Local module for multi-aspect feature learning A classifier for final recognition, The paper uses the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset, The paper uses multi-aspect SAR image sequence construction from single-aspect images.," The method uses contrastive learning with data augmentation techniques like rotation, flipping, cropping, scaling, and brightness adjustment.", Self-supervised contrastive pre-training of feature extractor Non-Local self-attention for multi-aspect feature learning Multi-level feature fusion," Classification accuracy under standard operating conditions (SOC) and extended operating conditions (EOC) The paper claims improved performance compared to other state-of-the-art methods, especially in terms of generalization and robustness.", SAR Automatic Target Recognition (ATR) using multi-aspect imagery, Addresses order dependency issues in multi-aspect SAR recognition Improves feature learning through self-supervised pre-training Enhances multi-aspect feature fusion using Non-Local attention Shows good generalization ability across different operating conditions," Increased computational complexity due to Non-Local attention Requires careful tuning of contrastive learning hyperparameters Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents an innovative approach to multi-aspect SAR ATR by combining contrastive learning and Non-Local attention. The method shows promise in improving classification accuracy and generalization ability, especially in scenarios with limited labeled data."
" Mix MSTAR: A Synthetic Benchmark Dataset for Multi-Class Rotation Vehicle Detection in Large-Scale SAR Images by Zhigang Liu, Shengjie Luo and Yiting Wang [68]", 4.2 Data Quality Enhancement 4.3 Data Augmentation Strategies 4.4 Application-Specific Methods, The paper proposes a synthetic dataset generation method with three main components: An improved background transfer technique to fuse vehicle masks from MSTAR Chips into MSTAR Clutter backgrounds Data harmonization through domain transfer and brightness uniformity Embedded synthesis to place vehicles in realistic positions within large-scale scenes," The paper generates a new synthetic dataset called Mix MSTAR, containing: 5392 vehicle objects of 20 fine-grained categories 100 high-resolution images, predominantly 1478 x 1784 pixels Various landscapes including woods, grasslands, urban buildings, lakes, etc.", Military ground vehicles from the MSTAR dataset, The paper uses several pre-processing steps: Center cropping to extract 88x88 patches from original SAR images Image segmentation to extract vehicle masks Domain transfer to harmonize Chip and Clutter data distributions, The method itself serves as a data augmentation technique by generating synthetic large-scale SAR images with vehicles., Linear fusion of vehicle masks and background images Domain transfer using grassland areas as reference Brightness uniformity to remove bias Realistic vehicle placement considering terrain," The paper evaluates 9 benchmark rotated object detectors on the dataset, reporting mAP, speed, and other metrics.", SAR Automatic Target Recognition (ATR) for military ground vehicles in large-scale scenes, Generates realistic large-scale SAR scenes with multiple vehicles Preserves target characteristics while providing diverse backgrounds Enables evaluation of rotated object detection algorithms for SAR Includes challenging Extended Operating Conditions (EOC) scenarios, Synthetic nature may not fully capture all real-world complexities Limited to MSTAR vehicle types and backgrounds Potential artifacts from fusion process need careful evaluation This paper presents an innovative approach to generating large-scale synthetic SAR datasets for vehicle detection by combining MSTAR Chips and Clutters. The method shows promise in providing a benchmark dataset for evaluating rotated object detection algorithms in SAR imagery while addressing the scarcity of labeled large-scale SAR data with vehicles.
" CycleGAN-Based SAR-Optical Image Fusion for Target Recognition by Yuchuang Sun, Kaijia Yan, and Wangzhe Li [69]", 3.6 Adversarial Learning 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a SAR-optical image fusion network (SOIF-CycleGAN) with two main components: A CycleGAN-based bidirectional translation network for SAR-to-optical (S2O) and optical-to-SAR (O2S) image translation A SAR ATR network that utilizes the translated images," The paper introduces a new dataset called SPH8, containing: SAR images and simulated optical images of 8 types of aircraft targets Both paired and unpaired SAR-optical image pairs", Small aircraft and helicopters from the SPH8 dataset, No specific pre-processing techniques are mentioned., The CycleGAN-based translation itself serves as a form of data augmentation.," Bidirectional SAR-optical image translation Joint loss function combining GAN losses, cycle-consistency losses, L1 loss, and LPIPS loss Integration of translated images into SAR ATR pipeline", Image quality assessment (IQA) metrics for translated images Classification accuracy for SAR ATR The paper reports a 6.33% improvement in overall accuracy for SAR ATR when using the translated images., SAR Automatic Target Recognition (ATR) with enhanced feature extraction and data augmentation, Addresses both feature extraction difficulty and data scarcity in SAR ATR Provides high-quality and detail-rich optical representations of SAR targets Generates pattern-rich artificial SAR images for data augmentation Demonstrates effectiveness across different target types and imaging conditions," Relies on simulated optical images, which may not fully represent real optical imagery Increased computational complexity due to image translation process Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents an innovative approach to SAR ATR by leveraging CycleGAN-based SAR-optical image fusion. The method shows promise in improving both feature extraction and data augmentation for SAR target recognition tasks."
" LIME-Assisted Automatic Target Recognition With SAR Images: Toward Incremental Learning and Explainability by Amir Hosein Oveis, Elisa Giusti, Selenia Ghio, Giulio Meucci, and Marco Martorella [70]", 1.4 Machine Learning Methods 3.2 Semi-supervised Learning 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a novel ATR system with three main components: A convolutional neural network (CNN) for SAR image classification LIME algorithm for interpretability and exemplar selection Openmax classifier for open set recognition and incremental learning, The paper uses the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset, No specific pre-processing techniques are mentioned., No explicit data augmentation techniques are mentioned., LIME-based interpretability metric for SAR ATR Exemplar selection based on LIME interpretability for incremental learning Openmax classifier for open set recognition Incremental fine-tuning with new samples and old class exemplars, Classification accuracy Interpretability scores The paper claims improved incremental learning performance using the LIME-based exemplar selection., SAR Automatic Target Recognition (ATR) with incremental learning and explainability, Provides interpretability for SAR ATR decisions Improves incremental learning through intelligent exemplar selection Addresses open set recognition challenges Enhances human-machine interaction in SAR ATR, Increased computational complexity due to LIME calculations Performance on very small targets or in extremely complex scenes is not explicitly addressed Relies on the quality of LIME explanations for exemplar selection This paper presents an innovative approach to SAR ATR by combining LIME-based interpretability with incremental learning and open set recognition. The method shows promise in improving ATR performance while providing explainability and adaptability to new classes.
" Clustering Algorithm Improvement in SAR Target Detection by Daoxiang An, Leping Chen, and Zhimin Zhou [71]", 1.4 Machine Learning Methods 4.2 Data Quality Enhancement 4.4 Application-Specific Methods," The paper proposes improvements to the common clustering algorithm used in SAR ATR systems, focusing on two main aspects: Improving the read sequence of image data Improving the calculation of clustering quasi-center coordinates"," The paper uses two actual SAR images for experiments, though specific datasets are not mentioned."," Military ground vehicles, likely from datasets like MSTAR", The paper uses a two-parameter constant false-alarm rate (CFAR) algorithm for initial target detection., No explicit data augmentation techniques are mentioned., Improved read sequence of image data based on pixel amplitude or density Weighted calculation of clustering quasi-center coordinates using pixel amplitude or density information Combination of different read sequences and coordinate calculation methods, Deviation distance between clustering centers and actual target centers Ability to separate closely spaced targets The paper claims improved clustering performance compared to the common algorithm., Clustering of multiple CFAR detections in SAR Automatic Target Recognition (ATR) systems, Reduces the impact of background clutter on clustering results Improves separation of closely spaced targets Provides multiple algorithm variants for different scenarios Maintains computational efficiency, Increased complexity compared to the common clustering algorithm Performance on very small targets or in extremely complex scenes is not explicitly addressed Requires careful selection of algorithm variants for optimal performance This paper presents an innovative approach to improving the clustering algorithm used in SAR ATR systems by modifying the read sequence of image data and the calculation of clustering centers. The method shows promise in reducing the impact of background clutter and improving the separation of closely spaced targets.
 MF-SarNet: Effective CNN with Data Augmentation for SAR Automatic Target Recognition by Jinxing Wang and Jihua Zhou [72], 2.2 CNN-Based Models 4.3 Data Augmentation Strategies 4.4 Application-Specific Methods," The paper introduces MF-SarNet, a CNN architecture designed to enhance SAR ATR performance. Key components include: Max-Fire Module: This module reduces network parameters by using a combination of 1×1 and 3×3 convolution kernels, optimizing parameter efficiency. Maxout Activation Function: Replaces traditional ReLU to improve non-linear transformation capabilities and reduce computational overhead. Network Structure: Comprises 18 convolutional layers, two fully connected layers, and eight Fire modules.", The paper utilizes the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset," The paper employs region of interest (ROI) extraction to remove background noise, focusing on central target areas within SAR images.","Uses rotation to simulate various viewing angles, improving model generalization.", Max-Fire Module: Combines squeeze and expand layers with Maxout activation for efficient feature extraction. Parameter Efficiency: Achieves significant parameter reduction without compromising accuracy.," The paper reports a classification accuracy of 98.53% on the MSTAR dataset, demonstrating superior performance compared to other methods like SVM and traditional CNNs.", SAR Automatic Target Recognition (ATR) for military ground vehicles, Significantly reduces model parameters while maintaining high accuracy. Enhances robustness through effective data augmentation strategies. Provides a scalable solution for real-time SAR ATR applications on resource-constrained devices.," The reliance on synthetic data augmentation may not fully capture real-world complexities. Performance on very small targets or in extremely complex scenes is not explicitly addressed. Requires careful tuning of Max-Fire module parameters for optimal performance. This paper presents an innovative approach to SAR ATR by leveraging a parameter-efficient CNN architecture combined with effective data augmentation strategies. The method shows promise in improving classification accuracy while maintaining computational efficiency, making it suitable for deployment in real-time applications on constrained devices."
" Data Augmentation Based on Attributed Scattering Centers to Train Robust CNN for SAR ATR by Pei Wang, Xue Zhang, Mengdao Xing, Guangcai Sun, and Zheng Bao [73]", 2.2 CNN-Based Models 4.3 Data Augmentation Strategies 4.4 Application-Specific Methods, The paper proposes a novel data augmentation method based on attributed scattering centers (ASCs) with two main components: An ASC extraction and modification algorithm A CNN model for SAR target classification, The paper uses the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset, The paper uses an ASC extraction algorithm to obtain scattering centers from SAR images., The method uses three ASC-based augmentation techniques: Aspect angle variation Depression angle variation Configuration variation, ASC-based data augmentation to simulate target variations Preservation of target scattering characteristics during augmentation CNN model for feature extraction and classification, Classification accuracy under standard operating conditions (SOC) and extended operating conditions (EOC) The paper reports improved robustness and generalization compared to traditional augmentation methods., SAR Automatic Target Recognition (ATR) with improved robustness to target variations," Generates physically meaningful augmented samples Improves model robustness to aspect angle, depression angle, and configuration variations Preserves target scattering characteristics during augmentation Shows good performance across various operating conditions", Increased computational complexity due to ASC extraction and modification Requires careful tuning of ASC modification parameters Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents an innovative approach to SAR ATR data augmentation by leveraging attributed scattering centers. The method shows promise in improving CNN model robustness and generalization by generating physically meaningful augmented samples that simulate various target variations.
" Feature Learning for SAR Target Recognition with Unknown Classes by Using CVAE-GAN by Xiaowei Hu, Weike Feng, Yiduo Guo, and Qiang Wang [74]", 2.2 CNN-Based Models 3.2 Semi-supervised Learning 3.6 Adversarial Learning 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a CVAE-GAN model with five main components: Encoder networks E1 and E2 for feature extraction Generator network G for image generation Classifier network C for target recognition Discriminator network D for adversarial training, The paper uses the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset, The paper uses center cropping to extract 88x88 pixel patches from the original SAR images., The CVAE-GAN itself serves as a data augmentation technique by generating synthetic SAR images., Conditional image generation with given class labels and observation angles Continuous latent variable space for feature representation Additive angular margin in feature space for unknown class recognition Joint supervised dictionary and classifier learning, Classification accuracy for known and unknown classes Image generation quality The paper reports over 93% accuracy for known/unknown classification and high-quality generated images., SAR Automatic Target Recognition (ATR) with capability to identify unknown target classes, Enables conditional SAR image generation for data augmentation Provides interpretable feature representations of SAR targets Can recognize both known and unknown target classes End-to-end trainable framework," Increased computational complexity due to multiple network components Requires careful tuning of multiple loss functions Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents a comprehensive approach to SAR ATR by combining CVAE, GAN, and angular margin techniques. The method shows promise in improving classification accuracy for both known and unknown classes while providing interpretable feature representations and conditional image generation capabilities."
" CPINet: Towards A Novel Cross-Polarimetric Interaction Network for Dual-Polarized SAR Ship Classification by Jinglu He, Ruiting Sun, Yingying Kong, Wenlong Chang, Chenglu Sun, Gaige Chen, Yinghua Li, Zhe Meng and Fuping Wang [75]", 2.2 CNN-Based Models 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a novel cross-polarimetric interaction network (CPINet) with three main components: A multiscale deep feature extraction framework A mixed-order squeeze-excitation (MO-SE) attention mechanism Factorized bilinear coding (FBC) for feature aggregation, The paper uses the OpenSARShip dataset for experiments., Ships in dual-polarized SAR imagery, The paper uses central sampling to extract 88x88 pixel patches from the original SAR images., No explicit data augmentation techniques are mentioned., Multiscale deep feature extraction and fusion MO-SE attention to leverage complementary information between polarizations FBC for efficient feature aggregation GradNorm for adaptive loss weighting, Classification accuracy on OpenSARShip dataset The paper claims state-of-the-art performance compared to other methods., SAR ship classification using dual-polarized imagery, Leverages complementary information from dual-pol SAR images Improves feature extraction through multiscale fusion and attention mechanisms Efficiently aggregates features using FBC Adaptively balances multiple loss components," Increased computational complexity due to multiple network components Requires dual-polarized SAR data, which may not always be available Performance on very small ships or in extremely complex scenes is not explicitly addressed This paper presents a comprehensive approach to dual-polarized SAR ship classification by combining multiscale feature extraction, cross-polarimetric attention, and efficient feature aggregation. The method shows promise in improving classification accuracy by leveraging complementary information from dual-pol SAR imagery."
" Retracted: Few Samples of SAR Automatic Target Recognition Based on Enhanced-Shape CNN by Mengmeng Huang, Fang Liu, and Xianfa Meng [76]", 2.2 CNN-Based Models 4.3 Data Augmentation Strategies 4.4 Application-Specific Methods, The paper proposed an enhanced-shape convolutional neural network (CNN) with the following components: Enhanced-Shape Input: Constructs a three-channel pseudocolor image to emphasize target shape information. SoftPool Layer: Utilizes SoftPool instead of traditional pooling methods to retain more information during downsampling. Attention Mechanism: Incorporates an improved attention module to highlight shape features., The paper used the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset, The method involved segmenting target and shadow areas using a simple thresholding technique.," The paper conducted experiments with varying training set sizes (full, half, quarter, eighth) to evaluate performance under limited data conditions.", Three-channel pseudocolor images to enhance shape information. SoftPool for improved information retention during pooling. Enhanced attention mechanisms to focus on shape features., The paper reported a recognition rate of 99.29% on the full training set and 89.93% on one-eighth of the training data set., SAR Automatic Target Recognition (ATR) with a focus on enhancing shape features for improved recognition rates., Emphasizes shape features which are crucial for SAR ATR. Achieves high recognition rates even with reduced training data. Utilizes innovative pooling and attention mechanisms to improve feature extraction.," The paper was retracted due to issues such as discrepancies in research description, data availability, and potential manipulation in the publication process. The reliability of the reported results is questionable due to the retraction notice. Potentially increased computational complexity due to additional processing steps like SoftPool and enhanced attention mechanisms. This paper was retracted due to concerns about systematic manipulation of the publication process, including discrepancies in research scope, description, data availability, and peer review integrity. Therefore, while the proposed methods appear innovative, their reliability and validity are compromised by these issues."
" A Multiview Interclass Dissimilarity Feature Fusion SAR Images Recognition Network Within Limited Sample Condition by Benyuan Lv, Jiacheng Ni, Ying Luo, S. Y. Zhao, Jia Liang, Hang Yuan, and Qun Zhang [77]", 2.2 CNN-Based Models 3.3 Few-shot Learning 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a multiview inter-class dissimilarity feature fusion (MIDFF) network with three main components: Multiple parallel inputs for extracting multiview and heterogeneous features Inter-class dissimilarity (ICD) feature calculation and enhancement module Feature fusion of ICD and multiview features, The paper uses two datasets: MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset Civilian Vehicle SAR dataset, Military ground vehicles from MSTAR and civilian vehicles from the Civilian Vehicle SAR dataset, The paper proposes a method for rapidly generating sufficient training data by combining images from different views and classes., The method itself serves as a data augmentation technique by generating new training samples through combinations of different views and classes., Multiview and heterogeneous feature extraction ICD feature calculation and enhancement Feature fusion of ICD and multiview features Multiview heterogeneous weighted loss function, The paper claims improved performance compared to state-of-the-art methods under limited sample conditions on both MSTAR and Civilian Vehicle SAR datasets., SAR Automatic Target Recognition (ATR) with limited training samples, Addresses the challenge of limited SAR training data Improves inter-class separability through ICD features Reduces feature redundancy in multiview fusion Adaptively balances inter-class similarity and loss during training, Increased computational complexity due to multiple parallel inputs May require careful tuning of ICD feature enhancement Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents an innovative approach to SAR ATR by combining multiview feature extraction with inter-class dissimilarity learning. The method shows promise in improving classification accuracy under limited sample conditions while reducing feature redundancy in multiview fusion.
" Simulated Data-Guided Incremental SAR ATR Through Feature Aggregation by Ziyang Tang, Yuli Sun, Chenfang Liu, Yanjie Xu, and Lin Lei [78]", 2.2 CNN-Based Models 3.5 Transfer Learning 4.2 Data Quality Enhancement 4.3 Data Augmentation Strategies 4.4 Application-Specific Methods, The paper proposes a simulated data-guided feature aggregation (SGFA) method with three main components: A CNN-based feature extractor A measured data-anchored minibatch construction strategy (MDA) A feature-level contrastive loss," The paper uses the SAMPLE dataset, which contains paired measured and simulated SAR images.", Military ground vehicles from the SAMPLE dataset, The paper uses central sampling to extract 88x88 patches from the original SAR images., The method uses simulated SAR images as a form of data augmentation., Feature aggregation between simulated and measured data Measured data-anchored minibatch construction Feature-level contrastive loss using cyclic shifts Retention of simulated data exemplars," Classification accuracy under incremental learning scenarios The paper claims improved performance compared to other incremental learning methods, especially when dealing with limited measured data for new classes.", SAR Automatic Target Recognition (ATR) with incremental learning of new target classes, Addresses the challenge of limited measured data for new target classes Leverages simulated data to improve feature learning and resist forgetting Avoids bias towards simulated-specific features through feature aggregation Enables effective incremental learning with minimal measured data, Relies on the quality and representativeness of simulated SAR data Increased computational complexity due to feature aggregation process Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents an innovative approach to incremental SAR ATR by leveraging simulated data and feature aggregation techniques. The method shows promise in improving classification accuracy and resisting catastrophic forgetting when learning new target classes with limited measured data.
" SAR Target Recognition via Incremental Nonnegative Matrix Factorization by Sihang Dang, Zongyong Cui, Zongjie Cao, and Nengyuan Liu [79]", 1.4 Machine Learning Methods 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes an incremental nonnegative matrix factorization with Lp sparse constraints (Lp-INMF) method with two main components: An incremental learning strategy to update the NMF model with new samples Lp sparse constraints on the decomposition matrices during updates, The paper uses the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset, The paper uses center cropping to extract 64x64 pixel patches from the original SAR images., No explicit data augmentation techniques are mentioned., Incremental learning to update NMF model with new samples Lp sparse constraints on decomposition matrices Adaptive update rules for basis and coefficient matrices, Classification accuracy Computational efficiency Decomposition error The paper claims improved efficiency and accuracy compared to traditional NMF and other incremental methods., SAR Automatic Target Recognition (ATR) with continuous model updating, Enables efficient model updating with new samples Reduces computational cost compared to retraining full NMF Improves feature extraction through sparse constraints Shows good performance across various operating conditions, Increased complexity due to incremental learning and sparse constraints Performance on very small targets or in extremely complex scenes is not explicitly addressed Relies on the quality of the initial NMF model This paper presents an innovative approach to SAR ATR by combining incremental learning with sparse NMF. The method shows promise in improving computational efficiency and recognition accuracy for scenarios where new training samples are continuously acquired.
" Multiview Attention CNN-LSTM Network for SAR Automatic Target Recognition by Chenwei Wang, Xiaoyu Liu, Jifang Pei, Yulin Huang, Yin Zhang, and Jianyu Yang [80]", 2.2 CNN-Based Models 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a multiview attention CNN-LSTM network with three main components: Multiple CNN modules to extract features from multiview SAR images Spatial attention module to focus on target information LSTM module to fuse features from adjacent azimuths, The paper uses the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset, The paper uses a multiview SAR image data formation method to generate combinations of images from adjacent azimuths., The multiview image formation method serves as a form of data augmentation., Parallel CNN modules for multiview feature extraction Spatial attention to focus on target regions LSTM for feature fusion across adjacent azimuths Hierarchical feature extraction and fusion, Classification accuracy under standard operating conditions (SOC) and extended operating conditions (EOC) The paper claims improved performance compared to single-view methods., SAR Automatic Target Recognition (ATR) utilizing multiview imagery, Leverages complementary information from multiple views Attention mechanism helps focus on relevant target features LSTM enables modeling of azimuth-dependent feature relationships Hierarchical fusion improves feature representation," Increased computational complexity due to multiple CNN streams and LSTM Requires multiple SAR images of the same target from different views Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents a comprehensive approach to SAR ATR by combining multiview CNN feature extraction, attention mechanisms, and LSTM-based feature fusion. The method shows promise in improving classification accuracy by leveraging complementary information from multiple target views."
" Few-Shot SAR-ATR Based on Instance-Aware Transformer by Xin Zhao, Xiaoling Lv, Jinlei Cai, Jiayi Guo, Yueting Zhang, Xiaolan Qiu and Yirong Wu [81]", 2.2 CNN-Based Models 3.3 Few-shot Learning 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes an instance-aware transformer (IAT) model with three main components: A CNN backbone for feature extraction A shared cross-transformer module for feature interaction and refinement A distance calculation module for classification, The paper uses two few-shot SAR-ATR test sets based on the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset., Military ground vehicles from the MSTAR dataset, The paper uses center cropping to extract 88x88 pixel patches from the original SAR images., No explicit data augmentation techniques are mentioned., Instance-level attention between query and support features Shared projections across query and support features for alignment Instance cosine distance for training Euclidean/Cosine loss for testing, Few-shot classification accuracy The paper claims superior performance compared to other few-shot learning methods on the proposed test sets., SAR Automatic Target Recognition (ATR) in few-shot learning scenarios," Leverages information from all support instances, not just class prototypes Aligns query and support features through shared projections Adapts query representations based on similarities to all support samples Shows good generalization to novel classes with few samples", Increased computational complexity due to instance-level attention Requires careful tuning of transformer architecture Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents an innovative approach to few-shot SAR ATR by combining transformer architectures with instance-level attention mechanisms. The method shows promise in improving classification accuracy in few-shot scenarios by leveraging information from all support instances.
" Recognition of Targets in SAR Images Based on a WVV Feature Using a Subset of Scattering Centers by Jia Liang, Jingwen Li, Yongsheng Zhang, Zhenghao Li, and Yongqiang Cheng [82]", 1.2 Model-Based Methods 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a robust method for SAR target recognition with three main components: Extraction of scattering centers using the CLEAN algorithm Amplitude-based selection and neighbor matching of scattering centers WVV (Weighted Vertex Vector) feature reconstruction and similarity calculation," The paper uses the SAMPLE dataset, which contains paired measured and synthetic SAR images.", Military ground vehicles from the SAMPLE dataset, The paper uses the CLEAN algorithm to extract scattering centers from SAR images., No explicit data augmentation techniques are mentioned., Amplitude-based selection of scattering centers Neighbor matching to reduce the impact of position errors WVV-based feature reconstruction Similarity calculation using matching score and Euclidean distance," Classification accuracy on SAMPLE dataset The paper reports improved performance compared to other methods, especially when using synthetic images for training and real images for testing.", SAR Automatic Target Recognition (ATR) with improved robustness to differences between synthetic and real SAR images, Reduces the impact of position errors in scattering center extraction Improves robustness to differences between synthetic and real SAR images Provides a compact and effective feature representation Shows good performance when training on synthetic data and testing on real data, Relies on the accuracy of scattering center extraction May be sensitive to the choice of amplitude threshold for scattering center selection Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents an innovative approach to SAR ATR by combining scattering center extraction with WVV-based feature reconstruction. The method shows promise in improving recognition accuracy when dealing with differences between synthetic and real SAR images.
" Target Recognition of Synthetic Aperture Radar Images Based on Matching and Similarity Evaluation Between Binary Regions by Cuiping Shi, Fengjuan Miao, Zhan Jin, and Ying Xia [83]", 1.2 Model-Based Methods 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a SAR ATR method with three main components: Target segmentation to extract binary target regions Region matching based on Euclidean distance transform Similarity measure for target recognition, The paper uses the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset," The paper uses a target segmentation algorithm including histogram equalization, smoothing, thresholding, and morphological operations.", No explicit data augmentation techniques are mentioned., Binary target region extraction Euclidean distance transform of region residuals Similarity measure based on region residuals and ridge pixel variance, Classification accuracy under standard operating conditions (SOC) and extended operating conditions (EOCs) The paper claims improved performance compared to several baseline algorithms in SAR ATR., SAR Automatic Target Recognition (ATR) for military ground vehicles, Uses geometrical features with clear physical meanings Robust to noise corruption and resolution variation Can handle partial occlusion through ridge pixel analysis Computationally efficient compared to point-based methods, Relies on the accuracy of target segmentation May be sensitive to severe target pose variations Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents an innovative approach to SAR ATR by combining binary region matching with Euclidean distance transform. The method shows promise in improving classification accuracy while maintaining robustness to various operating conditions.
" TAI-SARNET: Deep Transferred Atrous-Inception CNN for Small Samples SAR ATR by Zilu Ying, Chen Xuan, Yikui Zhai, Bing Sun, Jingwen Li, Wenbo Deng, Chaoyun Mai, Faguan Wang, Ruggero Donida Labati, Vincenzo Piuri, and Fabio Scotti [84]", 2.2 CNN-Based Models 3.5 Transfer Learning 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a lightweight CNN model called TAI-SARNET with three main components: An improved CNN architecture based on Atrous convolution and Inception modules An Atrous-Inception module for detailed feature extraction A transfer learning strategy to leverage prior knowledge from various domains, The paper uses the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset, The paper uses center cropping to extract patches from the original SAR images., No explicit data augmentation techniques are mentioned.," Atrous convolution for rich global receptive fields Inception module for multi-scale feature extraction Transfer learning from optical, non-optical, and hybrid domains Lightweight architecture to prevent overfitting", Classification accuracy on MSTAR dataset The paper reports 97.97% accuracy on ten types of MSTAR datasets under standard operating conditions., SAR Automatic Target Recognition (ATR) with limited training samples, Addresses the challenge of limited SAR training data Lightweight architecture suitable for resource-constrained environments Leverages transfer learning to improve performance on small datasets Shows robustness and generalization on small randomly sampled datasets, May require careful tuning of transfer learning strategies Performance on very small targets or in extremely complex scenes is not explicitly addressed Relies on the quality of pre-trained models for transfer learning This paper presents a comprehensive approach to SAR ATR by combining a lightweight CNN architecture with transfer learning strategies. The method shows promise in improving classification accuracy on small SAR datasets while maintaining computational efficiency.
" A Coarse-to-Fine Hierarchical Feature Learning for SAR Automatic Target Recognition With Limited Data by Yan Wen, Xihao Wang, Lihe Peng, and Yu Qiao [85]", 2.2 CNN-Based Models 3.2 Semi-supervised Learning 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a coarse-to-fine hierarchical feature learning strategy with three main components: A multi-stage feature extractor to obtain multi-level features A coarse-to-fine gradual feature constraint mechanism A consistency constraint on features of different granularities, The paper uses two datasets: MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset OpenSARShip dataset, Military ground vehicles from MSTAR and ships from OpenSARShip, The paper uses center cropping to extract patches from the original SAR images., No explicit data augmentation techniques are mentioned., Multi-level feature extraction Coarse-to-fine gradual feature constraint Dual consistency constraint (probability distribution and feature distribution) Hierarchical feature embedding," Classification accuracy under limited data conditions The paper claims improved performance compared to state-of-the-art methods, especially in scenarios with limited labeled data.", SAR Automatic Target Recognition (ATR) with limited training data, Addresses the challenge of limited SAR training data Improves feature extraction through hierarchical learning Enhances model generalization through consistency constraints Shows good performance across different operating conditions, Increased computational complexity due to multi-level feature processing May require careful tuning of constraint parameters Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents a comprehensive approach to SAR ATR by combining hierarchical feature learning with consistency constraints. The method shows promise in improving classification accuracy under limited data conditions while enhancing feature effectiveness and model generalization.
